time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-18T11:40:06.090Z,33.5001667,-116.4976667,8.73,0.4,ml,17,60,0.0636,0.15,ci,ci38596594,2020-07-18T11:43:58.170Z,"17km ESE of Anza, CA",earthquake,0.31,0.74,0.134,8,automatic,ci,ci
2020-07-18T11:37:19.520Z,34.3066667,-116.4513333,6.84,1.75,ml,40,49,0.05892,0.19,ci,ci38596586,2020-07-18T11:48:28.190Z,"22km N of Yucca Valley, CA",earthquake,0.23,0.61,0.162,26,automatic,ci,ci
2020-07-18T11:29:36.310Z,33.6083333,-116.8078333,4.16,0.28,ml,16,78,0.03931,0.22,ci,ci38596578,2020-07-18T11:33:06.827Z,"14km WNW of Anza, CA",earthquake,0.67,1.17,0.341,4,automatic,ci,ci
2020-07-18T11:25:37.160Z,38.1862,-117.8907,3.4,2,ml,22,55.21,0.125,0.09,nn,nn00761095,2020-07-18T11:48:03.431Z,"29 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-18T11:23:54.980Z,35.7923333,-117.6181667,1.96,1.12,ml,15,121,0.1204,0.17,ci,ci38596570,2020-07-18T11:27:38.524Z,"20km W of Searles Valley, CA",earthquake,0.4,0.49,0.115,14,automatic,ci,ci
2020-07-18T11:19:23.833Z,-13.4913,-111.6875,10,4.9,mb,,171,35.45,0.44,us,us7000aqth,2020-07-18T11:40:31.040Z,"central East Pacific Rise",earthquake,16,1.9,0.034,269,reviewed,us,us
2020-07-18T11:12:08.650Z,33.9133333,-116.2003333,3.85,0.78,ml,19,68,0.02545,0.31,ci,ci38596546,2020-07-18T11:15:44.765Z,"20km ENE of Thousand Palms, CA",earthquake,0.47,0.86,0.136,17,automatic,ci,ci
2020-07-18T11:09:00.330Z,38.8128319,-122.8170013,2.75,1.46,md,30,52,0.0103,0.03,nc,nc73427766,2020-07-18T11:42:01.804Z,"7km NW of The Geysers, CA",earthquake,0.21,0.37,0.17,7,automatic,nc,nc
2020-07-18T10:59:50.679Z,16.1107,-95.2372,35,4.2,mb,,192,3.682,0.77,us,us7000aqte,2020-07-18T11:36:05.040Z,"8 km SSW of Salina Cruz, Mexico",earthquake,3.6,2,0.048,120,reviewed,us,us
2020-07-18T10:58:35.330Z,38.1663,-118.0705,1.3,0.6,ml,10,160.01,0.093,0.05,nn,nn00761092,2020-07-18T11:24:59.724Z,"25 km S of Mina, Nevada",earthquake,,9.4,,,automatic,nn,nn
2020-07-18T10:57:31.630Z,33.4848333,-116.8005,6.39,0.85,ml,36,32,0.02746,0.17,ci,ci38596538,2020-07-18T11:01:16.535Z,"8km NE of Aguanga, CA",earthquake,0.19,0.6,0.107,24,automatic,ci,ci
2020-07-18T10:54:44.600Z,35.6668333,-117.4715,8.52,1.23,ml,23,148,0.08052,0.19,ci,ci38596530,2020-07-18T10:58:31.518Z,"13km SSW of Searles Valley, CA",earthquake,0.44,0.92,0.175,15,automatic,ci,ci
2020-07-18T10:47:35.080Z,33.2225,-116.7413333,11.04,0.7,ml,29,33,0.08222,0.13,ci,ci38596522,2020-07-18T10:51:05.208Z,"3km SE of Lake Henshaw, CA",earthquake,0.21,0.65,0.1,11,automatic,ci,ci
2020-07-18T10:47:11.870Z,35.6143333,-117.4015,7.3,0.98,ml,13,131,0.05673,0.21,ci,ci38596514,2020-07-18T10:50:48.475Z,"17km S of Trona, CA",earthquake,0.58,0.95,0.173,12,automatic,ci,ci
2020-07-18T10:46:39.110Z,38.0983,-118.0213,7.2,0.6,ml,11,120.18,0.059,0.06,nn,nn00761090,2020-07-18T11:00:20.723Z,"33 km SSE of Mina, Nevada",earthquake,,9.7,,,automatic,nn,nn
2020-07-18T10:44:31.710Z,34.9681667,-119.4885,14.04,0.93,ml,9,110,0.02955,0.25,ci,ci38596506,2020-07-18T10:48:16.526Z,"13km SW of Maricopa, CA",earthquake,1.36,0.93,0.159,10,automatic,ci,ci
2020-07-18T10:37:01.050Z,38.7970009,-122.8166656,3.25,0.93,md,18,92,0.01371,0.02,nc,nc73427761,2020-07-18T11:08:02.594Z,"6km WNW of The Geysers, CA",earthquake,0.31,0.57,0.07,4,automatic,nc,nc
2020-07-18T10:36:19.950Z,38.0333,-118.166,0.6,1.3,ml,10,228.04,0.093,0.19,nn,nn00761087,2020-07-18T10:40:29.153Z,"36 km NE of Benton, California",earthquake,,17.1,,,automatic,nn,nn
2020-07-18T10:36:10.104Z,60.873,-150.7137,46.7,1.2,ml,,,,0.54,ak,ak02096xnhde,2020-07-18T10:39:39.579Z,"5 km SSW of Point Possession, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-07-18T10:34:59.000Z,38.1765,-117.8668,8.5,1.6,ml,11,178.41,0.016,0.1,nn,nn00761084,2020-07-18T10:40:21.238Z,"31 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-18T10:31:53.620Z,33.5,-116.4938333,10.2,0.5,ml,23,49,0.06521,0.14,ci,ci38596498,2020-07-18T10:35:42.527Z,"18km ESE of Anza, CA",earthquake,0.21,0.55,0.142,11,automatic,ci,ci
2020-07-18T10:28:37.630Z,34.3295,-116.9148333,2.37,1.21,ml,31,77,0.06721,0.22,ci,ci38596490,2020-07-18T10:32:09.621Z,"10km N of Big Bear Lake, CA",earthquake,0.33,0.52,0.169,27,automatic,ci,ci
2020-07-18T10:28:14.644Z,61.4084,-150.0377,33.4,1.5,ml,,,,0.39,ak,ak02096xlrzq,2020-07-18T10:32:27.510Z,"6 km NNW of Point MacKenzie, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T10:26:39.020Z,38.1385,-118.0553,2.8,0.8,ml,11,192.64,0.036,0.17,nn,nn00761083,2020-07-18T10:35:40.839Z,"28 km S of Mina, Nevada",earthquake,,12.2,,,automatic,nn,nn
2020-07-18T10:25:14.180Z,35.6926667,-117.5081667,1.19,0.84,ml,11,142,0.1124,0.14,ci,ci38596482,2020-07-18T10:28:50.037Z,"13km SW of Searles Valley, CA",earthquake,0.34,0.64,0.211,8,automatic,ci,ci
2020-07-18T10:21:26.890Z,17.9488,-66.9628,6,2.85,md,20,202,0.084,0.14,pr,pr2020200002,2020-07-18T12:19:20.288Z,"Puerto Rico region",earthquake,0.43,0.24,0.34,18,reviewed,pr,pr
2020-07-18T10:18:15.011Z,66.2094,-157.1712,10.8,1,ml,,,,0.59,ak,ak02096xjmy9,2020-07-18T10:23:34.971Z,"66 km NNW of Huslia, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-07-18T10:18:10.860Z,38.184,-117.9688,12.9,0.7,ml,10,121.21,0.041,0.07,nn,nn00761081,2020-07-18T10:28:20.625Z,"25 km SSE of Mina, Nevada",earthquake,,8.3,,,automatic,nn,nn
2020-07-18T10:09:01.290Z,38.1322,-118.006,10.5,0.7,ml,12,153.09,0.038,0.04,nn,nn00761079,2020-07-18T10:19:40.999Z,"30 km SSE of Mina, Nevada",earthquake,,3.5,,,automatic,nn,nn
2020-07-18T10:07:01.700Z,38.1577,-117.9903,6.4,1.6,ml,15,60.73,0.032,0.12,nn,nn00761074,2020-07-18T10:12:28.089Z,"27 km SSE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-07-18T10:06:49.770Z,38.1665,-117.9762,1.6,0.8,ml,12,97.3,0.03,0.13,nn,nn00761075,2020-07-18T10:12:35.577Z,"27 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-07-18T10:05:54.421Z,59.1096,-152.1501,64.3,1.6,ml,,,,0.5,ak,ak02096xgxzx,2020-07-18T10:11:41.616Z,"30 km SSW of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-07-18T09:59:51.505Z,67.3904,-156.3814,2.8,1.3,ml,,,,0.85,ak,ak02096x72fk,2020-07-18T10:10:00.298Z,"58 km NNE of Kobuk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-07-18T09:51:44.000Z,38.1682,-117.7597,19.9,1,ml,9,78.57,0.061,0.01,nn,nn00761073,2020-07-18T10:08:08.766Z,"39 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-07-18T09:51:23.680Z,33.868,-117.7823333,8.34,1.28,ml,10,216,0.3839,0.29,ci,ci38596474,2020-07-18T09:55:12.288Z,"4km SE of Yorba Linda, CA",earthquake,2.32,31.61,0.346,16,automatic,ci,ci
2020-07-18T09:50:56.180Z,38.191,-117.8942,8.6,0.8,ml,13,119.19,0.027,0.05,nn,nn00761071,2020-07-18T10:08:00.959Z,"29 km SE of Mina, Nevada",earthquake,,1.8,,,automatic,nn,nn
2020-07-18T09:45:59.587Z,66.3093,-157.1818,8.1,0.9,ml,,,,0.65,ak,ak02096x4312,2020-07-18T09:48:54.976Z,"64 km S of Shungnak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T09:31:39.390Z,33.9666667,-116.8541667,16.37,0.91,ml,29,48,0.07843,0.2,ci,ci38596466,2020-07-18T09:35:26.127Z,"5km NNE of Banning, CA",earthquake,0.3,0.83,0.142,29,automatic,ci,ci
2020-07-18T09:31:28.300Z,38.172,-117.7787,6.2,1.6,ml,24,64.33,0.057,0.1,nn,nn00761067,2020-07-18T09:52:23.625Z,"37 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-07-18T09:25:38.890Z,61.4145,-151.5969,186.4,1.3,ml,,,,0.77,ak,ak02096wzr41,2020-07-18T09:29:40.948Z,"41 km NW of Beluga, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-07-18T09:24:24.013Z,58.3165,-155.0618,3.7,1.1,ml,,,,0.25,ak,ak02096wzi8x,2020-07-18T09:26:59.969Z,"90 km NNW of Karluk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-18T09:16:58.320Z,60.083,-151.6953,60.2,1.2,ml,,,,0.44,ak,ak02096wxv60,2020-07-18T09:19:48.191Z,"Kenai Peninsula, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-07-18T09:09:22.630Z,38.8310013,-122.7559967,3.22,0.78,md,13,215,0.0197,0.07,nc,nc73427751,2020-07-18T10:40:06.422Z,"3km WNW of Cobb, CA",earthquake,1.65,1.5,0.13,2,automatic,nc,nc
2020-07-18T09:02:49.160Z,38.174,-117.8177,10.9,1.1,ml,12,81.27,0.031,0.1,nn,nn00761065,2020-07-18T09:23:41.049Z,"35 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-18T08:56:14.450Z,38.1267,-117.9595,8.4,0.8,ml,10,126.08,0.021,0.22,nn,nn00761062,2020-07-18T09:04:00.884Z,"32 km SSE of Mina, Nevada",earthquake,,2.4,,,automatic,nn,nn
2020-07-18T08:50:55.240Z,38.169,-117.8853,13.6,1.4,ml,19,73.79,0.017,0.08,nn,nn00761059,2020-07-18T08:57:21.837Z,"31 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-07-18T08:41:48.567Z,61.405,-146.9828,15.7,1.9,ml,,,,0.76,ak,ak02096whrpo,2020-07-18T08:46:10.747Z,"45 km NW of Valdez, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-07-18T08:37:40.164Z,58.3894,-133.6394,0,2.4,ml,,,,1.23,ak,ak02096wgw2o,2020-07-18T11:54:18.040Z,"46 km ENE of Juneau, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-18T08:35:22.374Z,59.99,-152.5582,93.8,1.6,ml,,,,0.27,ak,ak02096wgfce,2020-07-18T08:51:02.429Z,"46 km W of Happy Valley, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T08:35:19.450Z,38.8013344,-122.7741699,1.16,0.55,md,6,140,0.01132,0.01,nc,nc73427746,2020-07-18T08:51:05.714Z,"3km NNW of The Geysers, CA",earthquake,0.51,1.12,,1,automatic,nc,nc
2020-07-18T08:34:00.510Z,35.691,-117.4481667,2.34,0.93,ml,11,156,0.1792,0.31,ci,ci38596458,2020-07-18T08:37:47.612Z,"9km SSW of Searles Valley, CA",earthquake,0.96,2.65,0.192,10,automatic,ci,ci
2020-07-18T08:28:27.374Z,58.3194,-133.4803,10,2.9,ml,,58,0.549,0.99,us,us7000aqsz,2020-07-18T11:52:09.040Z,"55 km E of Juneau, Alaska",earthquake,3.7,2,0.054,45,reviewed,us,us
2020-07-18T08:23:16.895Z,63.3873,-149.8206,84.2,0.8,ml,,,,0.26,ak,ak02096wdudl,2020-07-18T08:26:23.052Z,"43 km W of Cantwell, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-07-18T08:19:05.790Z,36.8294983,-121.5228348,4.96,2.08,md,23,172,0.01898,0.12,nc,nc73427741,2020-07-18T10:12:03.259Z,"2km SE of San Juan Bautista, CA",earthquake,0.68,0.43,0.2,23,automatic,nc,nc
2020-07-18T08:18:00.216Z,61.3446,-146.6885,23.8,1.4,ml,,,,0.96,ak,ak02096wcqid,2020-07-18T08:29:44.621Z,"30 km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-07-18T08:17:59.460Z,35.9215,-117.7276667,7.69,0.81,ml,11,103,0.06803,0.07,ci,ci38596450,2020-07-18T08:21:43.117Z,"16km E of Little Lake, CA",earthquake,0.2,0.52,0.221,10,automatic,ci,ci
2020-07-18T08:10:51.530Z,19.4428329467773,-155.616333007812,-1.78999996185303,1.80999994,md,10,175,,0.170000002,hv,hv72049517,2020-07-18T08:13:53.630Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.91,0.639999986,1.38,6,automatic,hv,hv
2020-07-18T08:08:13.256Z,60.667,-152.076,80.8,2,ml,,,,0.52,ak,ak02096wambz,2020-07-18T11:49:34.040Z,"41 km W of Salamatof, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T08:06:40.140Z,38.8358345,-122.7903366,2.12,0.41,md,10,69,0.002571,0.01,nc,nc73427736,2020-07-18T08:22:04.094Z,"6km WNW of Cobb, CA",earthquake,0.4,0.94,0.16,2,automatic,nc,nc
2020-07-18T08:02:59.630Z,38.1437,-118.0063,6.8,0.8,ml,13,146.39,0.038,0.23,nn,nn00761055,2020-07-18T08:11:40.416Z,"28 km SSE of Mina, Nevada",earthquake,,4.9,,,automatic,nn,nn
2020-07-18T08:02:59.410Z,36.4358333,-117.9846667,2.94,1.73,ml,18,138,0.07711,0.23,ci,ci38596442,2020-07-18T08:06:41.804Z,"17km N of Olancha, CA",earthquake,0.79,2.35,0.16,22,automatic,ci,ci
2020-07-18T07:59:48.000Z,38.1383,-118.0738,2.6,0.8,ml,10,165.32,0.044,0.09,nn,nn00761053,2020-07-18T08:04:20.155Z,"28 km S of Mina, Nevada",earthquake,,11.2,,,automatic,nn,nn
2020-07-18T07:58:56.400Z,38.1227,-117.9027,12.9,0.5,ml,10,91.14,0.033,0.18,nn,nn00761054,2020-07-18T08:04:27.796Z,"34 km SSE of Mina, Nevada",earthquake,,10.3,,,automatic,nn,nn
2020-07-18T07:57:59.060Z,36.4463333,-117.9903333,4.67,1.7,ml,19,114,0.07272,0.24,ci,ci38596434,2020-07-18T08:01:34.959Z,"17km SSE of Lone Pine, CA",earthquake,0.52,1.51,0.165,20,automatic,ci,ci
2020-07-18T07:45:39.381Z,31.9106,-102.3245,5,3,mb_lg,,40,0.282,0.64,us,us7000aqsp,2020-07-18T12:34:19.912Z,"8 km NNE of Odessa, Texas",earthquake,1.7,2,0.045,130,reviewed,us,us
2020-07-18T07:45:08.540Z,38.025,-118.0547,4,0.3,ml,9,221.69,0.113,0.06,nn,nn00761051,2020-07-18T07:58:59.948Z,"39 km N of Dyer, Nevada",earthquake,,5.8,,,automatic,nn,nn
2020-07-18T07:41:10.590Z,35.8536667,-117.7038333,2.03,0.48,ml,7,149,0.06698,0.12,ci,ci38596418,2020-07-18T07:44:42.521Z,"20km ESE of Little Lake, CA",earthquake,0.33,0.41,0.105,4,automatic,ci,ci
2020-07-18T07:30:59.000Z,40.3073349,-124.4291687,9.92,1.97,md,8,309,0.06886,0.11,nc,nc73427721,2020-07-18T09:57:04.170Z,"12km W of Petrolia, CA",earthquake,5.21,1.08,0.09,5,automatic,nc,nc
2020-07-18T07:25:01.670Z,38.1853,-117.7302,11.9,1.1,ml,13,81.14,0.045,0.06,nn,nn00761047,2020-07-18T07:34:40.681Z,"40 km SE of Mina, Nevada",earthquake,,2.8,,,automatic,nn,nn
2020-07-18T07:24:39.632Z,61.4339,-150.0926,31.7,1.2,ml,,,,0.82,ak,ak02096vso8q,2020-07-18T07:29:25.291Z,"10 km NW of Point MacKenzie, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-18T07:22:54.730Z,38.0337,-118.795,5.2,1.4,ml,16,106.03,0.324,0.14,nn,nn00761045,2020-07-18T07:26:20.743Z,"29 km ENE of Lee Vining, California",earthquake,,14.1,,,automatic,nn,nn
2020-07-18T07:20:12.130Z,38.1538,-118.0402,0,1.1,ml,15,151.21,0.023,0.17,nn,nn00761043,2020-07-18T07:24:20.854Z,"26 km SSE of Mina, Nevada",earthquake,,6.3,,,automatic,nn,nn
2020-07-18T07:16:38.650Z,35.7948333,-117.6215,1.8,1.26,ml,16,120,0.1174,0.17,ci,ci38596410,2020-07-18T07:20:05.629Z,"20km W of Searles Valley, CA",earthquake,0.32,0.42,0.204,18,automatic,ci,ci
2020-07-18T07:14:13.427Z,61.4034,-151.8423,114.3,2.1,ml,,,,0.51,ak,ak02096vqh2i,2020-07-18T07:27:44.088Z,"50 km NW of Beluga, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-07-18T07:10:45.802Z,61.8311,-148.8376,28.9,2.5,ml,,,,0.71,ak,ak02096vpoo9,2020-07-18T11:45:03.040Z,"7 km NNW of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-07-18T07:10:28.200Z,34.078,-118.1735,8.88,0.81,ml,8,256,0.09368,0.08,ci,ci38596394,2020-07-18T07:14:08.585Z,"5km WSW of Alhambra, CA",earthquake,0.89,0.91,0.238,14,automatic,ci,ci
2020-07-18T07:04:13.195Z,44.4571,-115.2581,10,2.5,ml,,61,0.822,1.51,us,us7000aqsd,2020-07-18T11:42:11.040Z,"36 km NW of Stanley, Idaho",earthquake,2.3,2,0.057,40,reviewed,us,us
2020-07-18T06:59:08.101Z,61.0895,-148.3678,0,1.6,ml,,,,1.09,ak,ak02096veo9m,2020-07-18T07:07:38.069Z,"39 km NNE of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T06:54:22.240Z,38.1855,-117.8967,6,0.7,ml,12,126.43,0.04,0.05,nn,nn00761039,2020-07-18T07:02:39.920Z,"29 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-07-18T06:45:47.950Z,38.175,-117.7832,13.8,1,ml,14,96.16,0.052,0.07,nn,nn00761037,2020-07-18T06:56:00.588Z,"37 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-07-18T06:41:48.429Z,61.7996,-150.6645,61,1.7,ml,,,,0.5,ak,ak02096vawhj,2020-07-18T06:52:14.227Z,"29 km NNW of Susitna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-18T06:30:18.880Z,38.1775,-117.9315,5.2,0.2,ml,9,167.56,0.041,0.06,nn,nn00761034,2020-07-18T06:33:59.545Z,"Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-07-18T06:20:10.000Z,33.4798333,-116.7946667,4.49,0.24,ml,14,120,0.09788,0.18,ci,ci38596378,2020-07-18T06:23:57.033Z,"8km ENE of Aguanga, CA",earthquake,0.43,0.93,0.071,5,automatic,ci,ci
2020-07-18T06:18:26.690Z,33.5126667,-116.516,10.59,0.69,ml,25,55,0.04644,0.16,ci,ci38596370,2020-07-18T06:21:55.281Z,"15km ESE of Anza, CA",earthquake,0.25,0.42,0.108,18,automatic,ci,ci
2020-07-18T06:02:21.100Z,38.8143349,-122.8259964,2.08,0.56,md,15,56,0.005998,0.03,nc,nc73427711,2020-07-18T06:13:02.300Z,"7km NW of The Geysers, CA",earthquake,0.25,0.55,,1,automatic,nc,nc
2020-07-18T05:56:06.940Z,38.1825,-117.8722,5.5,1.1,ml,17,73.27,0.016,0.1,nn,nn00761029,2020-07-18T06:08:00.830Z,"31 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-07-18T05:55:33.710Z,19.3846664428711,-155.279495239258,1.51999998092651,1.82000005,md,25,67,,0.109999999,hv,hv72049402,2020-07-18T05:58:34.800Z,"8 km SW of Volcano, Hawaii",earthquake,0.19,0.189999998,0.200000003,17,automatic,hv,hv
2020-07-18T05:41:26.225Z,61.5892,-141.8323,0,1.1,ml,,,,1.1,ak,ak02096upf67,2020-07-18T05:46:09.385Z,"60 km ENE of McCarthy, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-07-18T05:40:44.295Z,67.3539,-156.3775,0,1.3,ml,,,,1.31,ak,ak02096up8v8,2020-07-18T05:51:51.020Z,"54 km NNE of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-07-18T05:40:28.540Z,38.1822,-117.7712,6.6,2.1,ml,26,80.52,0.042,0.1,nn,nn00761023,2020-07-18T05:43:43.864Z,"37 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-07-18T05:33:02.310Z,36.4276667,-117.9825,2.1,2.27,ml,21,130,0.07969,0.2,ci,ci38596346,2020-07-18T05:36:42.994Z,"16km N of Olancha, CA",earthquake,0.41,0.92,0.164,25,automatic,ci,ci
2020-07-18T05:31:51.600Z,35.6726667,-117.5135,1.48,1.5,ml,20,138,0.191,0.18,ci,ci38596338,2020-07-18T05:42:09.510Z,"14km SW of Searles Valley, CA",earthquake,0.34,1.35,0.107,22,automatic,ci,ci
2020-07-18T05:28:11.626Z,60.9147,-150.3909,24.5,1.1,ml,,,,0.26,ak,ak02096umlqi,2020-07-18T05:31:15.270Z,"Kenai Peninsula, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-07-18T05:25:29.520Z,38.152,-117.9378,14.7,1,ml,16,68.9,0.007,0.1,nn,nn00761015,2020-07-18T05:34:20.472Z,"30 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-18T05:21:49.703Z,61.2701,-146.8781,19.3,2.1,ml,,,,0.59,ak,ak02096ul6nr,2020-07-18T05:29:04.293Z,"32 km WNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T05:16:44.320Z,39.5363333,-122.006,20.31,1.76,md,16,72,0.2513,0.09,nc,nc73427696,2020-07-18T08:55:05.740Z,"16km E of Willows, CA",earthquake,0.27,0.93,0.281,14,reviewed,nc,nc
2020-07-18T05:06:51.258Z,61.0865,-146.8745,22,1.4,ml,,,,0.78,ak,ak02096uhz1h,2020-07-18T05:10:29.261Z,"26 km NNW of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-18T04:54:57.950Z,40.742,-123.3063333,27.08,1.99,md,15,94,0.1052,0.15,nc,nc73427691,2020-07-18T06:18:04.332Z,"23km NNW of Hayfork, CA",earthquake,0.65,1.06,0.188,18,reviewed,nc,nc
2020-07-18T04:44:26.767Z,61.5118,-149.927,42.9,1.1,ml,,,,0.13,ak,ak02096u4kv0,2020-07-18T08:18:59.861Z,"1 km SE of Big Lake, Alaska",earthquake,,2,,,reviewed,ak,ak
2020-07-18T04:15:42.600Z,36.0525,-117.8441667,1.95,0.9,ml,9,133,0.05831,0.07,ci,ci38596290,2020-07-18T04:19:17.586Z,"9km E of Coso Junction, CA",earthquake,0.22,0.24,0.156,9,automatic,ci,ci
2020-07-18T04:14:51.550Z,35.9276667,-117.6966667,7.6,1.01,ml,14,107,0.04265,0.07,ci,ci38596282,2020-07-18T04:18:27.958Z,"19km E of Little Lake, CA",earthquake,0.18,0.48,0.237,13,automatic,ci,ci
2020-07-18T04:13:32.010Z,38.1825,-117.7768,6.2,2.4,ml,24,69.42,0.042,0.13,nn,nn00761008,2020-07-18T04:19:22.599Z,"37 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-07-18T04:08:56.066Z,63.4449,-145.9744,12.5,1.5,ml,,,,0.82,ak,ak02096twz8l,2020-07-18T04:13:38.014Z,"43 km NNW of Paxson, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-07-18T03:51:29.690Z,38.1735,-117.7757,7.9,1,ml,13,123.27,0.056,0.07,nn,nn00761005,2020-07-18T04:14:39.831Z,"37 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-07-18T03:50:21.530Z,17.9481,-66.9196,14,2.54,md,20,199,0.0486,0.13,pr,pr2020200001,2020-07-18T05:32:07.925Z,"2 km SSW of Guánica, Puerto Rico",earthquake,0.47,0.36,0.11,15,reviewed,pr,pr
2020-07-18T03:48:10.450Z,38.0445,-118.7313333,5.3,1.55,md,23,90,0.2729,0.07,nc,nc73427681,2020-07-18T05:30:03.195Z,"31km SE of Bodie, CA",earthquake,0.4,7.31,0.159,20,reviewed,nc,nc
